x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date
0.379711,0.134296,-0.509619,0.649559,107134.982535,2001-01-02 05:45:34.983 +0000
0.475099,0.665995,-0.486913,0.952025,107134.972555,2001-01-02 05:45:34.973 +0000
0.453452,0.712896,-0.469022,0.966344,107134.962576,2001-01-02 05:45:34.963 +0000
0.386207,0.663982,-0.413780,0.872492,107134.952597,2001-01-02 05:45:34.953 +0000
0.308374,0.599083,-0.357498,0.762758,107134.942618,2001-01-02 05:45:34.943 +0000
0.232829,0.506479,-0.305399,0.635609,107134.932608,2001-01-02 05:45:34.933 +0000
0.180792,0.410678,-0.260613,0.518904,107134.922629,2001-01-02 05:45:34.923 +0000
0.156383,0.325564,-0.210326,0.417953,107134.912649,2001-01-02 05:45:34.913 +0000
0.145790,0.255360,-0.165329,0.337339,107134.902670,2001-01-02 05:45:34.903 +0000
0.138409,0.195785,-0.131025,0.273233,107134.892691,2001-01-02 05:45:34.893 +0000
0.129995,0.142574,-0.107430,0.220833,107134.882681,2001-01-02 05:45:34.883 +0000
0.127009,0.081883,-0.094463,0.178212,107134.872702,2001-01-02 05:45:34.873 +0000
0.129384,0.021184,-0.086802,0.157238,107134.862723,2001-01-02 05:45:34.863 +0000
0.123156,-0.019291,-0.082460,0.149463,107134.852743,2001-01-02 05:45:34.853 +0000
0.105097,-0.033150,-0.081476,0.137050,107134.842764,2001-01-02 05:45:34.843 +0000
0.074170,-0.027849,-0.082768,0.114574,107134.832785,2001-01-02 05:45:34.833 +0000
0.033457,0.011546,-0.078875,0.086452,107134.822775,2001-01-02 05:45:34.823 +0000
0.001120,0.078652,-0.071796,0.106499,107134.812796,2001-01-02 05:45:34.813 +0000
-0.014091,0.138298,-0.070993,0.156093,107134.802817,2001-01-02 05:45:34.803 +0000
0.003821,0.162850,-0.055979,0.172245,107134.792837,2001-01-02 05:45:34.793 +0000
0.038917,0.153340,-0.035415,0.162117,107134.782858,2001-01-02 05:45:34.783 +0000
0.084968,0.090555,-0.022111,0.126130,107134.772848,2001-01-02 05:45:34.773 +0000
0.119407,0.020274,-0.021688,0.123043,107134.762869,2001-01-02 05:45:34.763 +0000
0.129262,-0.025544,-0.028977,0.134910,107134.752890,2001-01-02 05:45:34.753 +0000
0.129355,-0.053225,-0.022490,0.141674,107134.742911,2001-01-02 05:45:34.743 +0000
0.121884,-0.061732,-0.013969,0.137337,107134.732931,2001-01-02 05:45:34.733 +0000
0.125917,-0.036117,0.004153,0.131060,107134.722921,2001-01-02 05:45:34.723 +0000
0.122405,0.008665,0.021104,0.124513,107134.712942,2001-01-02 05:45:34.713 +0000
0.091368,0.043779,0.014388,0.102332,107134.702963,2001-01-02 05:45:34.703 +0000
0.062541,0.065042,0.005588,0.090405,107134.692984,2001-01-02 05:45:34.693 +0000
0.041245,0.080965,-0.010627,0.091484,107134.683005,2001-01-02 05:45:34.683 +0000
0.030638,0.090504,-0.026752,0.099224,107134.672995,2001-01-02 05:45:34.673 +0000
0.030791,0.070240,-0.036312,0.084855,107134.663015,2001-01-02 05:45:34.663 +0000
0.050234,0.026557,-0.044611,0.072242,107134.653036,2001-01-02 05:45:34.653 +0000
0.082459,-0.012860,-0.054971,0.099934,107134.643057,2001-01-02 05:45:34.643 +0000
0.117699,-0.019241,-0.061127,0.134015,107134.633078,2001-01-02 05:45:34.633 +0000
0.144371,-0.023485,-0.062004,0.158868,107134.623068,2001-01-02 05:45:34.623 +0000
0.156124,-0.025615,-0.065124,0.171091,107134.613089,2001-01-02 05:45:34.613 +0000
0.144379,-0.017109,-0.068432,0.160689,107134.603109,2001-01-02 05:45:34.603 +0000
0.103774,0.006293,-0.069838,0.125244,107134.593130,2001-01-02 05:45:34.593 +0000
0.061980,0.054199,-0.070251,0.108232,107134.583151,2001-01-02 05:45:34.583 +0000
0.039316,0.109584,-0.067349,0.134500,107134.573172,2001-01-02 05:45:34.573 +0000
0.047676,0.129860,-0.055594,0.149088,107134.563162,2001-01-02 05:45:34.563 +0000
0.087142,0.099045,-0.036010,0.136749,107134.553183,2001-01-02 05:45:34.553 +0000
0.165250,0.000103,-0.007433,0.165417,107134.543203,2001-01-02 05:45:34.543 +0000
0.269022,-0.122245,0.025655,0.296606,107134.533224,2001-01-02 05:45:34.533 +0000
0.362187,-0.229738,0.038330,0.430614,107134.523245,2001-01-02 05:45:34.523 +0000
0.423437,-0.295816,0.007936,0.516594,107134.513235,2001-01-02 05:45:34.513 +0000
0.427926,-0.284213,-0.039080,0.515193,107134.503256,2001-01-02 05:45:34.503 +0000
0.376576,-0.217193,-0.060979,0.438977,107134.493277,2001-01-02 05:45:34.493 +0000
0.308049,-0.148007,-0.063766,0.347659,107134.483297,2001-01-02 05:45:34.483 +0000
0.233151,-0.095846,-0.056934,0.258432,107134.473318,2001-01-02 05:45:34.473 +0000
0.156260,-0.065008,-0.056468,0.178415,107134.463308,2001-01-02 05:45:34.463 +0000
