x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
0.224319,-0.664307,-0.668152,0.96853,44034.35669,2001-01-01 12:13:54.357 +0000,,,,13.3917455,-43.30581409,-43.61919665
0.078079,-0.707245,-0.732315,1.021067,44034.33709,2001-01-01 12:13:54.337 +0000,,,,4.385579142,-43.8404963,-45.82427298
-0.070389,-0.764801,-0.697922,1.037772,44034.3175,2001-01-01 12:13:54.318 +0000,,,,-3.889189737,-47.47347857,-42.26183807
-0.007507,-0.718018,-0.694885,0.999235,44034.29791,2001-01-01 12:13:54.298 +0000,,,,-0.430452598,-45.93633133,-44.06043462
0.118912,-0.733887,-0.6595,0.993816,44034.27832,2001-01-01 12:13:54.278 +0000,,,,6.872014176,-47.59984629,-41.57529152
0.064026,-0.746582,-0.640121,0.985515,44034.25872,2001-01-01 12:13:54.259 +0000,,,,3.724962924,-49.249172,-40.50615619
-0.072723,-0.756592,-0.689896,1.026487,44034.23913,2001-01-01 12:13:54.239 +0000,,,,-4.062606287,-47.48232577,-42.22888131
-0.166641,-0.691772,-0.712814,1.007186,44034.21954,2001-01-01 12:13:54.220 +0000,,,,-9.523506831,-43.38025803,-45.05044068
-0.081085,-0.657074,-0.748489,0.999278,44034.19995,2001-01-01 12:13:54.200 +0000,,,,-4.654301517,-41.11318708,-48.50639761
0.002991,-0.674469,-0.688202,0.963607,44034.18035,2001-01-01 12:13:54.180 +0000,,,,0.177844152,-44.42232287,-45.57712654
-0.085602,-0.744537,-0.590042,0.953841,44034.16076,2001-01-01 12:13:54.161 +0000,,,,-5.148909741,-51.31253984,-38.21366368
-0.359283,-0.724579,-0.518738,0.960827,44034.14117,2001-01-01 12:13:54.141 +0000,,,,-21.95826296,-48.94856502,-32.67595503
-0.432495,-0.739594,-0.493546,0.988756,44034.12158,2001-01-01 12:13:54.122 +0000,,,,-25.93894823,-48.41780781,-29.9443381
-0.31044,-0.784286,-0.474289,0.967692,44034.10199,2001-01-01 12:13:54.102 +0000,,,,-18.71159052,-54.1419549,-29.34873147
-0.250183,-0.77533,-0.484207,0.947726,44034.08239,2001-01-01 12:13:54.082 +0000,,,,-15.30649696,-54.8945598,-30.72476719
-0.250229,-0.72934,-0.459213,0.897456,44034.0628,2001-01-01 12:13:54.063 +0000,,,,-16.18980549,-54.35807603,-30.77598608
-0.333496,-0.753708,-0.285858,0.872359,44034.04321,2001-01-01 12:13:54.043 +0000,,,,-22.47573823,-59.76739365,-19.12825944
-0.3862,-0.885071,-0.163971,0.979483,44034.02362,2001-01-01 12:13:54.024 +0000,,,,-23.22167011,-64.63672906,-9.637009714
