x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-axis,Z-axis
-0.020493,-0.421738,-0.853439,0.952177,39659.52324,2001-01-01 11:00:59.523 +0000,,,,-1.295448082,-30.05762069,-78.20063127
0.037186,-0.424072,-0.838501,0.940374,39659.50365,2001-01-01 11:00:59.504 +0000,,,,2.411702153,-31.04692821,-77.80460189
0.045944,-0.395721,-0.932678,1.014197,39659.48406,2001-01-01 11:00:59.484 +0000,,,,2.562770804,-24.40897283,-80.34295855
0.034119,-0.300644,-0.973282,1.019229,39659.46446,2001-01-01 11:00:59.464 +0000,,,,1.883239126,-17.58795113,-84.62633562
-0.001282,-0.321991,-0.944977,0.998329,39659.44487,2001-01-01 11:00:59.445 +0000,,,,-0.073699325,-19.82824056,-83.7387359
0.004517,-0.308899,-0.94899,0.998008,39659.42531,2001-01-01 11:00:59.425 +0000,,,,0.259842477,-18.93153418,-84.2571304
0.011642,-0.282684,-0.960052,1.000873,39659.40572,2001-01-01 11:00:59.406 +0000,,,,0.665935226,-17.04833914,-85.2339033
0.000732,-0.236099,-0.968704,0.997061,39659.38613,2001-01-01 11:00:59.386 +0000,,,,0.042188141,-14.12252549,-86.70659503
0.034103,-0.218246,-0.975937,1.000623,39659.36653,2001-01-01 11:00:59.367 +0000,,,,1.953036436,-12.89079558,-87.13774377
0.029892,-0.185532,-1.022354,1.039482,39659.34694,2001-01-01 11:00:59.347 +0000,,,,1.58595844,-10.0571532,-88.02159313
0.01889,-0.159088,-0.992828,1.005671,39659.32735,2001-01-01 11:00:59.327 +0000,,,,1.070399396,-9.164916921,-88.51916502
0.026825,-0.134995,-1.001678,1.01109,39659.30776,2001-01-01 11:00:59.308 +0000,,,,1.504143098,-7.657309779,-88.91658169
0.060699,-0.119247,-1.021835,1.030559,39659.28816,2001-01-01 11:00:59.288 +0000,,,,3.282407986,-6.492535813,-88.99618874
0.024643,-0.084732,-1.112534,1.116028,39659.26857,2001-01-01 11:00:59.269 +0000,,,,1.134020886,-3.914299846,-89.59898648
-0.062744,-0.033508,-1.132874,1.135104,39659.24898,2001-01-01 11:00:59.249 +0000,,,,-2.796448355,-1.491007159,-89.74411116
0.011154,-0.05574,-1.094604,1.09608,39659.22939,2001-01-01 11:00:59.229 +0000,,,,0.531988231,-2.663284133,-89.83086026
