x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,,X,Y,Z
0.081293,-0.324769,0.032418,0.336354,39945.13893,2001-01-01 11:05:45.139 +0000,,,,,-1.647155,-2.175493,89.999719
0.140496,-0.285186,0.081862,0.328286,39945.11894,2001-01-01 11:05:45.119 +0000,,,,,-1.506659,-2.460679,90.081581
0.205434,-0.309559,0.114421,0.388744,39945.09898,2001-01-01 11:05:45.099 +0000,,,,,-1.301225,-2.770238,90.196002
0.175533,-0.27022,0.092742,0.335308,39945.079,2001-01-01 11:05:45.079 +0000,,,,,-1.125692,-3.040458,90.288744
0.078319,-0.267009,0.127339,0.306011,39945.05901,2001-01-01 11:05:45.059 +0000,,,,,-1.047373,-3.307467,90.416083
0.077751,-0.276341,0.229937,0.367805,39945.03905,2001-01-01 11:05:45.039 +0000,,,,,-0.969622,-3.583808,90.64602
0.183056,-0.26448,0.25626,0.411252,39945.01906,2001-01-01 11:05:45.019 +0000,,,,,-0.786566,-3.848288,90.90228
0.20839,-0.148474,0.204827,0.327758,39944.9991,2001-01-01 11:05:44.999 +0000,,,,,-0.578176,-3.996762,91.107107
0.046698,-0.055167,0.077398,0.105899,39944.97911,2001-01-01 11:05:44.979 +0000,,,,,-0.531478,-4.051929,91.184505
-0.146875,-0.025711,-0.014812,0.149843,39944.95915,2001-01-01 11:05:44.959 +0000,,,,,-0.678353,-4.07764,91.169693
-0.206059,0.059533,0.01127,0.214782,39944.93916,2001-01-01 11:05:44.939 +0000,,,,,-0.884412,-4.018107,91.180963
-0.107094,0.125587,-0.014955,0.165725,39944.91921,2001-01-01 11:05:44.919 +0000,,,,,-0.991506,-3.89252,91.166008
0.10142,-0.116324,-0.11333,0.191471,39944.89922,2001-01-01 11:05:44.899 +0000,,,,,-0.890086,-4.008844,91.052678
0.148143,-0.270819,-0.139308,0.338668,39944.87923,2001-01-01 11:05:44.879 +0000,,,,,-0.741943,-4.279663,90.91337
0.058998,-0.146829,0.054223,0.167271,39944.85927,2001-01-01 11:05:44.859 +0000,,,,,-0.682945,-4.426492,90.967593
-0.072787,0.0069,0.224946,0.23653,39944.83928,2001-01-01 11:05:44.839 +0000,,,,,-0.755732,-4.419592,91.192539
-0.075414,0.050694,0.272892,0.287623,39944.81932,2001-01-01 11:05:44.819 +0000,,,,,-0.831146,-4.368898,91.465431
0.004477,-0.072999,0.201109,0.213994,39944.79933,2001-01-01 11:05:44.799 +0000,,,,,-0.826669,-4.441897,91.66654
-0.058597,-0.011303,0.183419,0.192883,39944.77937,2001-01-01 11:05:44.779 +0000,,,,,-0.885266,-4.4532,91.849959
-0.261155,0.339237,0.268717,0.505463,39944.75939,2001-01-01 11:05:44.759 +0000,,,,,-1.146421,-4.113963,92.118676
-0.253863,0.513052,0.336679,0.664094,39944.73943,2001-01-01 11:05:44.739 +0000,,,,,-1.400284,-3.600911,92.455355
0.090964,-0.006639,0.300883,0.314403,39944.71944,2001-01-01 11:05:44.719 +0000,,,,,-1.30932,-3.60755,92.756238
0.275888,-0.613615,0.339042,0.753384,39944.69945,2001-01-01 11:05:44.699 +0000,,,,,-1.033432,-4.221165,93.09528
0.268826,-0.743047,0.554117,0.965107,39944.67949,2001-01-01 11:05:44.679 +0000,,,,,-0.764606,-4.964212,93.649397
-0.062191,-0.635658,0.569756,0.855891,39944.6595,2001-01-01 11:05:44.660 +0000,,,,,-0.826797,-5.59987,94.219153
-0.403035,-0.442507,0.377804,0.707803,39944.63954,2001-01-01 11:05:44.640 +0000,,,,,-1.229832,-6.042377,94.596957
-0.527512,-0.209861,0.154081,0.588262,39944.61955,2001-01-01 11:05:44.620 +0000,,,,,-1.757344,-6.252238,94.751038
-0.494736,-0.288845,0.082927,0.578854,39944.5996,2001-01-01 11:05:44.600 +0000,,,,,-2.25208,-6.541083,94.833965
-0.618441,-0.296349,0.100277,0.693072,39944.57961,2001-01-01 11:05:44.580 +0000,,,,,-2.870521,-6.837432,94.934242
-0.835472,0.154374,0.208713,0.874874,39944.55965,2001-01-01 11:05:44.560 +0000,,,,,-3.705993,-6.683058,95.142955
-0.655293,0.5009,0.280577,0.871225,39944.53966,2001-01-01 11:05:44.540 +0000,,,,,-4.361286,-6.182158,95.423532
-0.074594,0.221965,0.177335,0.293735,39944.51967,2001-01-01 11:05:44.520 +0000,,,,,-4.43588,-5.960193,95.600867
0.124705,-0.414985,0.152629,0.459412,39944.49971,2001-01-01 11:05:44.500 +0000,,,,,-4.311175,-6.375178,95.753496
-0.246724,-0.156868,0.389836,0.487291,39944.47972,2001-01-01 11:05:44.480 +0000,,,,,-4.557899,-6.532046,96.143332
-0.27464,0.454783,0.471329,0.710215,39944.45976,2001-01-01 11:05:44.460 +0000,,,,,-4.832539,-6.077263,96.614661
0.043094,0.676723,0.096755,0.684962,39944.43977,2001-01-01 11:05:44.440 +0000,,,,,-4.789445,-5.40054,96.711416
0.183853,0.482414,-0.116538,0.52925,39944.41982,2001-01-01 11:05:44.420 +0000,,,,,-4.605592,-4.918126,96.594878
0.135365,0.578726,0.073068,0.598821,39944.39986,2001-01-01 11:05:44.400 +0000,,,,,-4.470227,-4.3394,96.667946
0.151693,0.672425,0.47682,0.838167,39944.3799,2001-01-01 11:05:44.380 +0000,,,,,-4.318534,-3.666975,97.144766
-0.00823,0.542623,0.588287,0.800368,39944.35991,2001-01-01 11:05:44.360 +0000,,,,,-4.326764,-3.124352,97.733053
-0.436787,0.756659,0.253575,0.909734,39944.33993,2001-01-01 11:05:44.340 +0000,,,,,-4.763551,-2.367693,97.986628
-1.004588,1.661312,-0.339328,1.970862,39944.31997,2001-01-01 11:05:44.320 +0000,,,,,-5.768139,-0.706381,97.6473
-1.178976,2.534135,-0.569401,2.852375,39944.29998,2001-01-01 11:05:44.300 +0000,,,,,-6.947115,1.827754,97.077899
-1.077173,2.979715,-0.481239,3.204777,39944.28002,2001-01-01 11:05:44.280 +0000,,,,,-8.024288,4.807469,96.59666
-1.190217,3.620395,-0.267904,3.820426,39944.26003,2001-01-01 11:05:44.260 +0000,,,,,-9.214505,8.427864,96.328756
-1.283277,4.544447,-0.057341,4.722508,39944.24007,2001-01-01 11:05:44.240 +0000,,,,,-10.497782,12.972311,96.271415
-1.577817,6.325096,-0.167814,6.521082,39944.22008,2001-01-01 11:05:44.220 +0000,,,,,-12.075599,19.297407,96.103601
-2.439363,8.903577,-0.562095,9.248791,39944.20012,2001-01-01 11:05:44.200 +0000,,,,,-14.514962,28.200984,95.541506
-3.043091,10.71895,-0.327483,11.147355,39944.18014,2001-01-01 11:05:44.180 +0000,,,,,-17.558053,38.919934,95.214023
-2.947919,11.161879,-0.019245,11.544615,39944.16015,2001-01-01 11:05:44.160 +0000,,,,,-20.505972,50.081813,95.194778
-2.880022,10.94854,-0.152839,11.322032,39944.14019,2001-01-01 11:05:44.140 +0000,,,,,-23.385994,61.030353,95.041939
-2.956178,10.078925,-0.270663,10.506996,39944.1202,2001-01-01 11:05:44.120 +0000,,,,,-26.342172,71.109278,94.771276
-2.779462,7.919059,-0.117214,8.393488,39944.10024,2001-01-01 11:05:44.100 +0000,,,,,-29.121634,79.028337,94.654062
-2.244218,5.277677,0.353037,5.74587,39944.08025,2001-01-01 11:05:44.080 +0000,,,,,-31.365852,84.306014,95.007099
-1.884815,4.422183,0.64308,4.849926,39944.06029,2001-01-01 11:05:44.060 +0000,,,,,-33.250667,88.728197,95.650179
-2.095133,5.301675,0.534556,5.725652,39944.0403,2001-01-01 11:05:44.040 +0000,,,,,-35.3458,94.029872,96.184735
-1.67709,5.195568,0.580406,5.490304,39944.02035,2001-01-01 11:05:44.020 +0000,,,,,-37.02289,99.22544,96.765141
-0.320283,2.799398,0.888847,2.954532,39944.00036,2001-01-01 11:05:44.000 +0000,,,,,-37.343173,102.024838,97.653988
0.992616,1.297668,1.053518,1.943998,39943.98037,2001-01-01 11:05:43.980 +0000,,,,,-36.350557,103.322506,98.707506
1.419708,2.364553,1.146461,2.986814,39943.96041,2001-01-01 11:05:43.960 +0000,,,,,-34.930849,105.687059,99.853967
1.395212,3.978769,1.282951,4.407174,39943.94042,2001-01-01 11:05:43.940 +0000,,,,,-33.535637,109.665828,101.136918
1.93278,3.893776,1.643693,4.647457,39943.92046,2001-01-01 11:05:43.920 +0000,,,,,-31.602857,113.559604,102.780611
3.902371,1.602274,1.881189,4.618945,39943.90047,2001-01-01 11:05:43.900 +0000,,,,,-27.700486,115.161878,104.6618
4.862489,0.013003,1.220964,5.013454,39943.88051,2001-01-01 11:05:43.881 +0000,,,,,-22.837997,115.174881,105.882764
4.378858,0.141801,0.895728,4.471782,39943.86052,2001-01-01 11:05:43.861 +0000,,,,,-18.459139,115.316682,106.778492
3.715777,1.64017,1.327407,4.273074,39943.84054,2001-01-01 11:05:43.841 +0000,,,,,-14.743362,116.956852,108.105899
5.056503,3.58113,2.651859,6.739812,39943.82058,2001-01-01 11:05:43.821 +0000,,,,,-9.686859,120.537982,110.757758
7.207606,3.052808,3.749145,8.679016,39943.80059,2001-01-01 11:05:43.801 +0000,,,,,-2.479253,123.59079,114.506903
7.965579,1.770143,3.49703,8.877673,39943.78063,2001-01-01 11:05:43.781 +0000,,,,,5.486326,125.360933,118.003933
8.044464,0.122107,3.025485,8.595456,39943.76064,2001-01-01 11:05:43.761 +0000,,,,,13.53079,125.48304,121.029418
7.458832,0.247778,3.184674,8.114044,39943.74068,2001-01-01 11:05:43.741 +0000,,,,,20.989622,125.730818,124.214092
6.179713,1.409905,3.524423,7.252464,39943.72069,2001-01-01 11:05:43.721 +0000,,,,,27.169335,127.140723,127.738515
4.983958,1.947826,3.431547,6.356837,39943.70073,2001-01-01 11:05:43.701 +0000,,,,,32.153293,129.088549,131.170062
4.08266,1.934413,3.01733,5.432711,39943.68075,2001-01-01 11:05:43.681 +0000,,,,,36.235953,131.022962,134.187392
3.370854,1.940371,2.625709,4.692765,39943.66076,2001-01-01 11:05:43.661 +0000,,,,,39.606807,132.963333,136.813101
2.634146,2.224401,2.255603,4.120003,39943.6408,2001-01-01 11:05:43.641 +0000,,,,,42.240953,135.187734,139.068704
2.017358,1.983883,1.677236,3.289171,39943.62081,2001-01-01 11:05:43.621 +0000,,,,,44.258311,137.171617,140.74594
1.792052,1.34669,0.826913,2.389312,39943.60085,2001-01-01 11:05:43.601 +0000,,,,,46.050363,138.518307,141.572853
1.575925,0.762835,0.003219,1.750848,39943.58086,2001-01-01 11:05:43.581 +0000,,,,,47.626288,139.281142,141.576072
0.861846,0.571721,-0.385744,1.10383,39943.5609,2001-01-01 11:05:43.561 +0000,,,,,48.488134,139.852863,141.190328
-0.251294,0.666313,-0.573023,0.914044,39943.54091,2001-01-01 11:05:43.541 +0000,,,,,48.23684,140.519176,140.617305
-1.220858,0.563566,-0.90732,1.622138,39943.52096,2001-01-01 11:05:43.521 +0000,,,,,47.015982,141.082742,139.709985
-1.789064,0.051276,-1.550868,2.368242,39943.50097,2001-01-01 11:05:43.501 +0000,,,,,45.226918,141.134018,138.159117
-2.400659,-0.597259,-2.137708,3.269507,39943.48098,2001-01-01 11:05:43.481 +0000,,,,,42.826259,140.536759,136.021409
-3.122996,-0.823576,-2.543728,4.111196,39943.46102,2001-01-01 11:05:43.461 +0000,,,,,39.703263,139.713183,133.477681
-3.672883,-0.805323,-2.751574,4.659375,39943.44103,2001-01-01 11:05:43.441 +0000,,,,,36.03038,138.90786,130.726107
-3.957057,-1.026837,-2.642833,4.867983,39943.42107,2001-01-01 11:05:43.421 +0000,,,,,32.073323,137.881023,128.083274
-4.330041,-1.467726,-2.479602,5.201144,39943.40112,2001-01-01 11:05:43.401 +0000,,,,,27.743282,136.413297,125.603672
-4.533845,-1.605991,-2.33101,5.344957,39943.38116,2001-01-01 11:05:43.381 +0000,,,,,23.209437,134.807306,123.272662
-4.438731,-1.607708,-2.193594,5.205662,39943.36117,2001-01-01 11:05:43.361 +0000,,,,,18.770706,133.199598,121.079068
-4.2068,-1.818931,-1.954245,4.982444,39943.34122,2001-01-01 11:05:43.341 +0000,,,,,14.563906,131.380667,119.124823
-4.419757,-1.897848,-1.926618,5.181499,39943.32123,2001-01-01 11:05:43.321 +0000,,,,,10.144149,129.482819,117.198205
-4.703617,-1.785217,-1.958758,5.398865,39943.30124,2001-01-01 11:05:43.301 +0000,,,,,5.440532,127.697602,115.239447
-4.801653,-1.596674,-1.934288,5.41726,39943.28128,2001-01-01 11:05:43.281 +0000,,,,,0.638879,126.100928,113.305159
-4.87653,-1.311246,-1.938775,5.409137,39943.26129,2001-01-01 11:05:43.261 +0000,,,,,-4.237651,124.789682,111.366384
-4.679575,-1.476242,-1.947682,5.279316,39943.24133,2001-01-01 11:05:43.241 +0000,,,,,-8.917226,123.31344,109.418702
-4.474536,-1.811597,-1.925085,5.197048,39943.22134,2001-01-01 11:05:43.221 +0000,,,,,-13.391762,121.501843,107.493617
-4.556772,-1.47474,-1.80902,5.119725,39943.20138,2001-01-01 11:05:43.201 +0000,,,,,-17.948534,120.027103,105.684597
-4.350613,-0.654986,-1.646374,4.697594,39943.1814,2001-01-01 11:05:43.181 +0000,,,,,-22.299147,119.372117,104.038223
-3.922723,-0.378185,-1.413441,4.186716,39943.16144,2001-01-01 11:05:43.161 +0000,,,,,-26.22187,118.993932,102.624782
-3.547449,-0.408337,-1.227042,3.775813,39943.14145,2001-01-01 11:05:43.141 +0000,,,,,-29.769319,118.585595,101.39774
-3.288107,-0.446119,-1.075598,3.488206,39943.12146,2001-01-01 11:05:43.121 +0000,,,,,-33.057426,118.139476,100.322142
-2.992214,-0.328339,-0.922192,3.148268,39943.1015,2001-01-01 11:05:43.102 +0000,,,,,-36.04964,117.811137,99.39995
-2.708993,-0.002857,-0.775848,2.817905,39943.08151,2001-01-01 11:05:43.082 +0000,,,,,-38.758633,117.80828,98.624102
