x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,X_gyro,Y_gyro,Z_gyro
0.083373,2.737461,2.416504,3.652415,43931.70701,2001-01-01 12:12:11.707 +0000,,,,0.396401,5.600334,4.649365
-0.238782,2.556602,2.606085,3.658539,43931.68702,2001-01-01 12:12:11.687 +0000,,,,-0.238782,2.556602,2.606085
-0.002583,2.986464,2.332972,3.789688,43931.66706,2001-01-01 12:12:11.667 +0000,,,,-0.241365,5.543066,4.939057
0.767144,3.128077,1.652867,3.62013,43931.64707,2001-01-01 12:12:11.647 +0000,,,,0.767144,3.128077,1.652867
0.773087,2.563191,1.108433,2.897626,43931.62708,2001-01-01 12:12:11.627 +0000,,,,1.540231,5.691268,2.7613
0.220621,3.041184,1.144009,3.256721,43931.60712,2001-01-01 12:12:11.607 +0000,,,,0.220621,3.041184,1.144009
0.041543,4.110519,1.542723,4.390682,43931.58713,2001-01-01 12:12:11.587 +0000,,,,0.262164,7.151703,2.686732
0.518677,4.420843,1.534414,4.708217,43931.56718,2001-01-01 12:12:11.567 +0000,,,,0.518677,4.420843,1.534414
0.607582,3.536081,1.274565,3.807564,43931.54719,2001-01-01 12:12:11.547 +0000,,,,1.126259,7.956924,2.808979
0.116095,3.492806,1.152761,3.67995,43931.52723,2001-01-01 12:12:11.527 +0000,,,,0.116095,3.492806,1.152761
0.070604,4.327306,1.322216,4.525353,43931.50724,2001-01-01 12:12:11.507 +0000,,,,0.186699,7.820112,2.474977
0.466754,4.487658,1.430237,4.733129,43931.48725,2001-01-01 12:12:11.487 +0000,,,,0.466754,4.487658,1.430237
0.838147,3.991409,1.389214,4.308567,43931.46729,2001-01-01 12:12:11.467 +0000,,,,1.304901,8.479067,2.819451
0.738965,3.507353,1.249886,3.796026,43931.4473,2001-01-01 12:12:11.447 +0000,,,,0.738965,3.507353,1.249886
0.720968,3.684391,0.909497,3.862864,43931.42734,2001-01-01 12:12:11.427 +0000,,,,1.459933,7.191744,2.159383
0.925429,3.680092,0.40762,3.816497,43931.40736,2001-01-01 12:12:11.407 +0000,,,,0.925429,3.680092,0.40762
1.046204,3.48353,0.151458,3.640394,43931.38737,2001-01-01 12:12:11.387 +0000,,,,1.971633,7.163622,0.559078
0.829552,3.28211,0.18153,3.390185,43931.36741,2001-01-01 12:12:11.367 +0000,,,,0.829552,3.28211,0.18153
0.614304,2.575723,0.201231,2.6556,43931.34742,2001-01-01 12:12:11.347 +0000,,,,1.443856,5.857833,0.382761
0.507418,1.849982,0.117001,1.921873,43931.32746,2001-01-01 12:12:11.327 +0000,,,,0.507418,1.849982,0.117001
0.308003,1.764382,0.023996,1.791224,43931.30747,2001-01-01 12:12:11.307 +0000,,,,0.815421,3.614364,0.140997
0.110688,1.583112,0.012472,1.587025,43931.28751,2001-01-01 12:12:11.288 +0000,,,,0.110688,1.583112,0.012472
0.046192,1.017422,0.019985,1.018666,43931.26752,2001-01-01 12:12:11.268 +0000,,,,0.15688,2.600534,0.032457
0.014945,0.651987,0.011151,0.652254,43931.24754,2001-01-01 12:12:11.248 +0000,,,,0.014945,0.651987,0.011151
-0.006666,0.440082,0.051116,0.44309,43931.22758,2001-01-01 12:12:11.228 +0000,,,,0.008279,1.092069,0.062267
-0.049957,0.341006,0.061778,0.350139,43931.20759,2001-01-01 12:12:11.208 +0000,,,,-0.049957,0.341006,0.061778
-0.047073,0.277968,-0.013895,0.282268,43931.18763,2001-01-01 12:12:11.188 +0000,,,,-0.09703,0.618974,0.047883
0.02008,0.11916,-0.066436,0.137898,43931.16764,2001-01-01 12:12:11.168 +0000,,,,0.02008,0.11916,-0.066436
0.1097,0.076661,-0.047551,0.142029,43931.14768,2001-01-01 12:12:11.148 +0000,,,,0.12978,0.195821,-0.113987
0.073807,0.013765,-0.055102,0.09313,43931.12769,2001-01-01 12:12:11.128 +0000,,,,0.073807,0.013765,-0.055102
-0.037037,0.054082,-0.088015,0.109742,43931.1077,2001-01-01 12:12:11.108 +0000,,,,0.03677,0.067847,-0.143117
-0.058578,0.129644,-0.110804,0.180323,43931.08775,2001-01-01 12:12:11.088 +0000,,,,-0.058578,0.129644,-0.110804
-0.01621,0.138291,-0.073144,0.157281,43931.06776,2001-01-01 12:12:11.068 +0000,,,,-0.074788,0.267935,-0.183948
0.000412,0.136357,0.000701,0.13636,43931.0478,2001-01-01 12:12:11.048 +0000,,,,0.000412,0.136357,0.000701
0.025048,0.106556,0.004153,0.109539,43931.02781,2001-01-01 12:12:11.028 +0000,,,,0.02546,0.242913,0.004854
-0.028226,0.221331,-0.090547,0.240796,43931.00785,2001-01-01 12:12:11.008 +0000,,,,-0.028226,0.221331,-0.090547
-0.095228,0.32541,-0.198133,0.392704,43930.98786,2001-01-01 12:12:10.988 +0000,,,,-0.123454,0.546741,-0.28868
-0.071422,0.233847,-0.184901,0.306552,43930.96787,2001-01-01 12:12:10.968 +0000,,,,-0.071422,0.233847,-0.184901
0.067181,0.183343,0.026668,0.197077,43930.94791,2001-01-01 12:12:10.948 +0000,,,,-0.004241,0.41719,-0.158233
0.161412,0.102875,0.196347,0.274206,43930.92792,2001-01-01 12:12:10.928 +0000,,,,0.161412,0.102875,0.196347
0.130065,-0.023926,0.192206,0.233308,43930.90797,2001-01-01 12:12:10.908 +0000,,,,0.291477,0.078949,0.388553
0.043943,0.008881,0.130631,0.13811,43930.88798,2001-01-01 12:12:10.888 +0000,,,,0.043943,0.008881,0.130631
0.091269,0.010863,0.057217,0.108268,43930.86801,2001-01-01 12:12:10.868 +0000,,,,0.135212,0.019744,0.187848
0.222314,-0.320106,0.151962,0.41831,43930.84805,2001-01-01 12:12:10.848 +0000,,,,0.222314,-0.320106,0.151962
0.261289,-0.508063,0.37926,0.685739,43930.82806,2001-01-01 12:12:10.828 +0000,,,,0.483603,-0.828169,0.531222
0.174146,-0.371705,0.406083,0.577403,43930.80811,2001-01-01 12:12:10.808 +0000,,,,0.174146,-0.371705,0.406083
-0.11168,0.129353,0.214734,0.274436,43930.78812,2001-01-01 12:12:10.788 +0000,,,,0.062466,-0.242352,0.620817
-0.047365,-0.255887,-0.07442,0.270665,43930.76816,2001-01-01 12:12:10.768 +0000,,,,-0.047365,-0.255887,-0.07442
0.363673,-1.917066,0.065364,1.952351,43930.74817,2001-01-01 12:12:10.748 +0000,,,,0.316308,-2.172953,-0.009056
-0.081792,-1.356318,1.214825,1.82266,43930.72818,2001-01-01 12:12:10.728 +0000,,,,-0.081792,-1.356318,1.214825
-0.535434,0.067214,2.3309,2.392551,43930.70822,2001-01-01 12:12:10.708 +0000,,,,-0.617226,-1.289104,3.545725
-0.125924,-1.061306,2.479911,2.700405,43930.68823,2001-01-01 12:12:10.688 +0000,,,,-0.125924,-1.061306,2.479911
0.364344,-2.701759,2.364799,3.60895,43930.66827,2001-01-01 12:12:10.668 +0000,,,,0.23842,-3.763065,4.84471
-0.040722,-2.274549,2.92401,3.704735,43930.64829,2001-01-01 12:12:10.648 +0000,,,,-0.040722,-2.274549,2.92401
-0.972697,-0.438416,4.743088,4.861608,43930.62833,2001-01-01 12:12:10.628 +0000,,,,-1.013419,-2.712965,7.667098
-1.125088,0.546956,7.34441,7.450191,43930.60834,2001-01-01 12:12:10.608 +0000,,,,-1.125088,0.546956,7.34441
-0.707965,0.940493,9.109199,9.184947,43930.58835,2001-01-01 12:12:10.588 +0000,,,,-1.833053,1.487449,16.453609
-0.855752,0.240231,9.42852,9.470323,43930.56839,2001-01-01 12:12:10.568 +0000,,,,-0.855752,0.240231,9.42852
-0.856616,-0.381724,8.641645,8.692383,43930.5484,2001-01-01 12:12:10.548 +0000,,,,-1.712368,-0.141493,18.070165
-0.408026,-0.615606,7.421862,7.458518,43930.52844,2001-01-01 12:12:10.528 +0000,,,,-0.408026,-0.615606,7.421862
0.044213,-0.804576,6.2693,6.320871,43930.50845,2001-01-01 12:12:10.508 +0000,,,,-0.363813,-1.420182,13.691162
0.509985,-1.047795,5.571093,5.691664,43930.48847,2001-01-01 12:12:10.488 +0000,,,,0.509985,-1.047795,5.571093
0.894589,-0.83783,5.074123,5.220055,43930.46851,2001-01-01 12:12:10.469 +0000,,,,1.404574,-1.885625,10.645216
1.193199,-0.487732,4.408436,4.593029,43930.44852,2001-01-01 12:12:10.449 +0000,,,,1.193199,-0.487732,4.408436
1.478453,-0.363687,3.660998,3.964972,43930.42856,2001-01-01 12:12:10.429 +0000,,,,2.671652,-0.851419,8.069434
2.018677,-0.612103,2.993226,3.661848,43930.40857,2001-01-01 12:12:10.409 +0000,,,,2.018677,-0.612103,2.993226
2.382575,-1.000791,2.51484,3.605921,43930.38861,2001-01-01 12:12:10.389 +0000,,,,4.401252,-1.612894,5.508066
2.266552,-1.104956,2.215157,3.356353,43930.36862,2001-01-01 12:12:10.369 +0000,,,,2.266552,-1.104956,2.215157
1.921531,-0.924602,2.018938,2.936542,43930.34863,2001-01-01 12:12:10.349 +0000,,,,4.188083,-2.029558,4.234095
1.358656,-0.593263,1.772756,2.310967,43930.32868,2001-01-01 12:12:10.329 +0000,,,,1.358656,-0.593263,1.772756
0.961994,-0.416381,1.4811,1.814515,43930.30869,2001-01-01 12:12:10.309 +0000,,,,2.32065,-1.009644,3.253856
0.778716,-0.450382,1.143375,1.454836,43930.28873,2001-01-01 12:12:10.289 +0000,,,,0.778716,-0.450382,1.143375
0.780096,-0.597499,0.672571,1.190759,43930.26874,2001-01-01 12:12:10.269 +0000,,,,1.558812,-1.047881,1.815946
0.584816,-0.589312,0.169031,0.847272,43930.24878,2001-01-01 12:12:10.249 +0000,,,,0.584816,-0.589312,0.169031
