x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.830841,-0.567169,-0.357132,1.067483,43931.35728,2001-01-01 12:12:11.357 +0000,,,,-51.10678747,-32.09428964,-19.54548644
-0.828278,-0.560226,-0.344788,1.057722,43931.33768,2001-01-01 12:12:11.338 +0000,,,,-51.54317549,-31.98202775,-19.02448315
-0.772095,-0.522919,-0.38678,1.009541,43931.31809,2001-01-01 12:12:11.318 +0000,,,,-49.88900728,-31.19663749,-22.52735502
-0.810822,-0.538651,-0.353424,1.035608,43931.29847,2001-01-01 12:12:11.298 +0000,,,,-51.53076613,-31.34095681,-19.95437214
-0.841019,-0.593597,-0.250061,1.05934,43931.27888,2001-01-01 12:12:11.279 +0000,,,,-52.55229265,-34.07974085,-13.65373843
-0.815735,-0.634811,-0.201324,1.053062,43931.25928,2001-01-01 12:12:11.259 +0000,,,,-50.77162438,-37.07241075,-11.02163217
-0.770172,-0.671539,-0.198074,1.040848,43931.23969,2001-01-01 12:12:11.240 +0000,,,,-47.72692252,-40.17954921,-10.97033641
-0.748169,-0.678619,-0.19632,1.028991,43931.2201,2001-01-01 12:12:11.220 +0000,,,,-46.64299506,-41.26171796,-10.99882557
-0.689209,-0.671463,-0.171402,0.977369,43931.20051,2001-01-01 12:12:11.201 +0000,,,,-44.84308785,-43.39394456,-10.10023777
-0.666779,-0.707123,-0.119614,0.979247,43931.18092,2001-01-01 12:12:11.181 +0000,,,,-42.91478957,-46.22887391,-7.016141431
-0.683411,-0.725998,-0.124176,1.00476,43931.16132,2001-01-01 12:12:11.161 +0000,,,,-42.85717462,-46.26611063,-7.099203451
-0.692337,-0.729736,-0.151855,1.017303,43931.14173,2001-01-01 12:12:11.142 +0000,,,,-42.88752506,-45.8340055,-8.584750017
-0.69101,-0.719986,-0.190262,1.01591,43931.12214,2001-01-01 12:12:11.122 +0000,,,,-42.85832268,-45.13005637,-10.7942209
-0.679214,-0.70932,-0.179703,0.998379,43931.10252,2001-01-01 12:12:11.103 +0000,,,,-42.86842916,-45.27333306,-10.36946038
-0.682663,-0.717087,-0.134033,0.999103,43931.08292,2001-01-01 12:12:11.083 +0000,,,,-43.10015196,-45.86743155,-7.709662134
-0.682739,-0.726227,-0.137772,1.00624,43931.06333,2001-01-01 12:12:11.063 +0000,,,,-42.72692932,-46.19694469,-7.869520655
-0.677612,-0.728058,-0.133255,1.003486,43931.04374,2001-01-01 12:12:11.044 +0000,,,,-42.47421363,-46.51288038,-7.630969396
-0.635071,-0.732697,-0.173325,0.984988,43931.02415,2001-01-01 12:12:11.024 +0000,,,,-40.14692703,-48.06159995,-10.13491256
-0.631912,-0.737167,-0.191467,0.989641,43931.00455,2001-01-01 12:12:11.005 +0000,,,,-39.68207435,-48.14912907,-11.15543749
-0.698868,-0.743393,-0.140228,1.029909,43930.98496,2001-01-01 12:12:10.985 +0000,,,,-42.73217564,-46.20364217,-7.825451303
-0.811844,-0.736404,-0.088135,1.099613,43930.96537,2001-01-01 12:12:10.965 +0000,,,,-47.58676712,-42.04342469,-4.597240018
-0.866928,-0.711395,-0.057983,1.122947,43930.94578,2001-01-01 12:12:10.946 +0000,,,,-50.5348918,-39.3093714,-2.959766114
-0.84584,-0.716476,-0.104599,1.11343,43930.92619,2001-01-01 12:12:10.926 +0000,,,,-49.43522603,-40.05225855,-5.390493446
-0.795364,-0.744415,-0.170135,1.10259,43930.90659,2001-01-01 12:12:10.907 +0000,,,,-46.16688518,-42.46592227,-8.876487467
-0.760605,-0.762131,-0.202164,1.095552,43930.887,2001-01-01 12:12:10.887 +0000,,,,-43.96879877,-44.07978986,-10.63382825
-0.799042,-0.768799,-0.165237,1.121081,43930.86743,2001-01-01 12:12:10.867 +0000,,,,-45.45847267,-43.29584834,-8.475746266
-0.899399,-0.765091,-0.163879,1.192115,43930.84781,2001-01-01 12:12:10.848 +0000,,,,-48.97788789,-39.92563,-7.901418947
-0.902359,-0.739365,-0.266281,1.196586,43930.82822,2001-01-01 12:12:10.828 +0000,,,,-48.94777936,-38.16261118,-12.85790811
-0.818024,-0.764877,-0.343018,1.171265,43930.80863,2001-01-01 12:12:10.809 +0000,,,,-44.29963842,-40.77082353,-17.02932799
-0.818344,-0.764862,-0.354507,1.174894,43930.78903,2001-01-01 12:12:10.789 +0000,,,,-44.14892901,-40.61742515,-17.5618592
-1.071518,-0.779633,-0.126114,1.331121,43930.76944,2001-01-01 12:12:10.769 +0000,,,,-53.60775877,-35.8522144,-5.436510913
-1.410889,-0.717651,-0.091125,1.585539,43930.74985,2001-01-01 12:12:10.750 +0000,,,,-62.8541643,-26.91207803,-3.294750851
-1.436996,-0.552505,-0.486923,1.614718,43930.73023,2001-01-01 12:12:10.730 +0000,,,,-62.86525189,-20.00902605,-17.55090522
-1.329514,-0.533173,-0.37085,1.479665,43930.71063,2001-01-01 12:12:10.711 +0000,,,,-63.96462533,-21.12067385,-14.51485092
-1.270538,-0.532959,0.079422,1.38008,43930.69104,2001-01-01 12:12:10.691 +0000,,,,-67.01785226,-22.71700813,3.299129068
-1.188644,-0.420639,-0.020676,1.261047,43930.67145,2001-01-01 12:12:10.671 +0000,,,,-70.4903249,-19.485199,-0.939458051
-1.090683,-0.282837,-0.423508,1.203721,43930.65186,2001-01-01 12:12:10.652 +0000,,,,-64.97083775,-13.58978524,-20.5994247
-1.18988,-0.24086,-0.597549,1.353105,43930.63223,2001-01-01 12:12:10.632 +0000,,,,-61.56647706,-10.25360289,-26.20685702
-1.22261,-0.165894,-0.273941,1.263859,43930.61264,2001-01-01 12:12:10.613 +0000,,,,-75.3214359,-7.542402722,-12.51819558
