x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.034241,-0.327255,-0.924149,0.980979,107136.4283,2001-01-02 05:45:36.428 +0000
-0.035233,-0.312027,-0.927002,0.978741,107136.4185,2001-01-02 05:45:36.419 +0000
-0.039688,-0.288528,-0.924454,0.969246,107136.4087,2001-01-02 05:45:36.409 +0000
-0.049591,-0.27739,-0.915115,0.957518,107136.3989,2001-01-02 05:45:36.399 +0000
-0.05986,-0.282486,-0.899139,0.944369,107136.3891,2001-01-02 05:45:36.389 +0000
-0.069183,-0.300247,-0.888855,0.940743,107136.3793,2001-01-02 05:45:36.379 +0000
-0.07869,-0.318451,-0.879135,0.93834,107136.3695,2001-01-02 05:45:36.370 +0000
-0.077896,-0.333084,-0.870743,0.935524,107136.3598,2001-01-02 05:45:36.360 +0000
-0.070892,-0.333206,-0.873459,0.937541,107136.35,2001-01-02 05:45:36.350 +0000
-0.061172,-0.326645,-0.883484,0.943919,107136.3402,2001-01-02 05:45:36.340 +0000
-0.047302,-0.311386,-0.893631,0.94751,107136.3304,2001-01-02 05:45:36.330 +0000
-0.025848,-0.314774,-0.90181,0.955516,107136.3206,2001-01-02 05:45:36.321 +0000
-0.01796,-0.324615,-0.907776,0.964238,107136.3108,2001-01-02 05:45:36.311 +0000
-0.008896,-0.340164,-0.915909,0.977077,107136.301,2001-01-02 05:45:36.301 +0000
0.000031,-0.352173,-0.922058,0.987024,107136.2912,2001-01-02 05:45:36.291 +0000
0.002747,-0.357819,-0.932129,0.998452,107136.2814,2001-01-02 05:45:36.281 +0000
-0.003799,-0.36467,-0.946167,1.014017,107136.2716,2001-01-02 05:45:36.272 +0000
-0.004425,-0.368652,-0.9543,1.023041,107136.2618,2001-01-02 05:45:36.262 +0000
-0.011307,-0.380295,-0.948105,1.021594,107136.252,2001-01-02 05:45:36.252 +0000
-0.00972,-0.388855,-0.960754,1.036509,107136.2422,2001-01-02 05:45:36.242 +0000
-0.00798,-0.393997,-0.981873,1.058003,107136.2324,2001-01-02 05:45:36.232 +0000
-0.006836,-0.387787,-0.995865,1.068725,107136.2226,2001-01-02 05:45:36.223 +0000
-0.006866,-0.379852,-0.977692,1.048912,107136.2128,2001-01-02 05:45:36.213 +0000
-0.011612,-0.356369,-0.932739,0.998567,107136.203,2001-01-02 05:45:36.203 +0000
-0.021988,-0.340912,-0.896545,0.959426,107136.1932,2001-01-02 05:45:36.193 +0000
-0.020706,-0.330124,-0.867981,0.928871,107136.1835,2001-01-02 05:45:36.183 +0000
-0.006744,-0.319931,-0.837112,0.896191,107136.1737,2001-01-02 05:45:36.174 +0000
0.012711,-0.322372,-0.81955,0.880765,107136.1639,2001-01-02 05:45:36.164 +0000
0.029083,-0.344818,-0.834305,0.903222,107136.1541,2001-01-02 05:45:36.154 +0000
0.04364,-0.380844,-0.851578,0.93388,107136.1443,2001-01-02 05:45:36.144 +0000
0.050369,-0.415512,-0.867462,0.96316,107136.1345,2001-01-02 05:45:36.134 +0000
0.057755,-0.451416,-0.872238,0.983825,107136.1247,2001-01-02 05:45:36.125 +0000
0.064896,-0.476517,-0.860535,0.985799,107136.1149,2001-01-02 05:45:36.115 +0000
0.069778,-0.50119,-0.857407,0.995594,107136.1051,2001-01-02 05:45:36.105 +0000
0.081558,-0.524979,-0.870651,1.019945,107136.0953,2001-01-02 05:45:36.095 +0000
0.08075,-0.543747,-0.894089,1.04956,107136.0855,2001-01-02 05:45:36.085 +0000
0.081863,-0.546066,-0.921188,1.074001,107136.0757,2001-01-02 05:45:36.076 +0000
0.077057,-0.545898,-0.944122,1.093302,107136.0659,2001-01-02 05:45:36.066 +0000
0.074921,-0.552582,-0.955093,1.105967,107136.0561,2001-01-02 05:45:36.056 +0000
0.081177,-0.548828,-0.941879,1.093132,107136.0463,2001-01-02 05:45:36.046 +0000
0.086823,-0.530411,-0.914551,1.060791,107136.0365,2001-01-02 05:45:36.037 +0000
0.081467,-0.503296,-0.891937,1.027373,107136.0267,2001-01-02 05:45:36.027 +0000
0.076736,-0.47641,-0.876343,1.000416,107136.0169,2001-01-02 05:45:36.017 +0000
0.075989,-0.466415,-0.857803,0.979359,107136.0071,2001-01-02 05:45:36.007 +0000
0.069519,-0.470322,-0.865219,0.987238,107135.9973,2001-01-02 05:45:35.997 +0000
0.069489,-0.479218,-0.865448,0.991705,107135.9875,2001-01-02 05:45:35.988 +0000
0.075485,-0.483292,-0.857101,0.98686,107135.9777,2001-01-02 05:45:35.978 +0000
0.081772,-0.485184,-0.848434,0.980781,107135.9679,2001-01-02 05:45:35.968 +0000
0.082031,-0.491318,-0.844116,0.98013,107135.9581,2001-01-02 05:45:35.958 +0000
0.088623,-0.486633,-0.845551,0.979603,107135.9483,2001-01-02 05:45:35.948 +0000
0.093216,-0.499008,-0.842255,0.983408,107135.9386,2001-01-02 05:45:35.939 +0000
0.103958,-0.492981,-0.850449,0.988484,107135.9288,2001-01-02 05:45:35.929 +0000
0.118637,-0.499237,-0.855103,0.997253,107135.919,2001-01-02 05:45:35.919 +0000
0.118973,-0.511826,-0.870987,1.017221,107135.9092,2001-01-02 05:45:35.909 +0000
0.120834,-0.521255,-0.875748,1.026276,107135.8993,2001-01-02 05:45:35.899 +0000
0.12001,-0.534348,-0.881943,1.038149,107135.8895,2001-01-02 05:45:35.890 +0000
0.122574,-0.537994,-0.889297,1.046572,107135.8797,2001-01-02 05:45:35.880 +0000
0.12442,-0.538818,-0.886871,1.045154,107135.8699,2001-01-02 05:45:35.870 +0000
0.136536,-0.52887,-0.882584,1.03793,107135.8602,2001-01-02 05:45:35.860 +0000
0.144119,-0.524078,-0.885529,1.039033,107135.8504,2001-01-02 05:45:35.850 +0000
0.154358,-0.512466,-0.880798,1.030657,107135.8406,2001-01-02 05:45:35.841 +0000
