x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.257690,-0.284393,-0.904373,0.982433,117289.881148,2001-01-02 08:34:49.881 +0000
0.251526,-0.277878,-0.894287,0.969655,117289.861555,2001-01-02 08:34:49.862 +0000
0.244080,-0.276108,-0.926208,0.996831,117289.841963,2001-01-02 08:34:49.842 +0000
0.235123,-0.245605,-0.958817,1.017317,117289.822371,2001-01-02 08:34:49.822 +0000
0.223663,-0.223999,-0.961426,1.012196,117289.802778,2001-01-02 08:34:49.803 +0000
0.222824,-0.195847,-0.943329,0.988876,117289.783217,2001-01-02 08:34:49.783 +0000
0.207962,-0.152649,-0.933884,0.968859,117289.763624,2001-01-02 08:34:49.764 +0000
0.202072,-0.150223,-0.980988,1.012787,117289.744032,2001-01-02 08:34:49.744 +0000
0.213593,-0.122940,-1.014252,1.043764,117289.724440,2001-01-02 08:34:49.724 +0000
0.182098,-0.116013,-1.015121,1.037830,117289.704848,2001-01-02 08:34:49.705 +0000
0.165726,-0.078537,-1.013351,1.029813,117289.685318,2001-01-02 08:34:49.685 +0000
0.148315,-0.051941,-1.024246,1.036231,117289.665726,2001-01-02 08:34:49.666 +0000
0.162170,-0.023224,-1.015579,1.028708,117289.646133,2001-01-02 08:34:49.646 +0000
0.177994,-0.000168,-1.004684,1.020330,117289.626541,2001-01-02 08:34:49.627 +0000
0.166962,0.025269,-1.002350,1.016474,117289.606949,2001-01-02 08:34:49.607 +0000
0.162491,0.050369,-1.005783,1.020069,117289.587356,2001-01-02 08:34:49.587 +0000
0.182922,0.075027,-0.987305,1.006906,117289.567764,2001-01-02 08:34:49.568 +0000
0.171539,0.087921,-1.001465,1.019847,117289.548202,2001-01-02 08:34:49.548 +0000
0.175156,0.116272,-1.009293,1.030956,117289.528610,2001-01-02 08:34:49.529 +0000
0.188049,0.161057,-1.010208,1.040107,117289.509018,2001-01-02 08:34:49.509 +0000
0.205505,0.182098,-0.986420,1.023922,117289.489425,2001-01-02 08:34:49.489 +0000
0.201172,0.186096,-0.982437,1.019943,117289.469833,2001-01-02 08:34:49.470 +0000
0.194504,0.195007,-0.948776,0.987945,117289.450241,2001-01-02 08:34:49.450 +0000
0.192581,0.200455,-1.000305,1.038210,117289.430679,2001-01-02 08:34:49.431 +0000
0.202499,0.222610,-0.994476,1.039011,117289.411087,2001-01-02 08:34:49.411 +0000
0.193268,0.241028,-0.952087,1.000958,117289.391495,2001-01-02 08:34:49.391 +0000
0.199844,0.245850,-0.918411,0.971524,117289.371902,2001-01-02 08:34:49.372 +0000
0.197861,0.252151,-0.914780,0.969304,117289.352310,2001-01-02 08:34:49.352 +0000
0.200775,0.272461,-0.916336,0.976841,117289.332748,2001-01-02 08:34:49.333 +0000
0.249649,0.301300,-0.912582,0.992932,117289.313156,2001-01-02 08:34:49.313 +0000
0.288651,0.320374,-0.896790,0.995083,117289.293564,2001-01-02 08:34:49.294 +0000
0.261337,0.335739,-0.886978,0.983742,117289.273971,2001-01-02 08:34:49.274 +0000
0.255463,0.287994,-0.905914,0.984318,117289.254379,2001-01-02 08:34:49.254 +0000
0.243042,0.284119,-0.932251,1.004433,117289.234817,2001-01-02 08:34:49.235 +0000
0.220398,0.276764,-0.942993,1.007179,117289.215225,2001-01-02 08:34:49.215 +0000
0.177719,0.259521,-0.954361,1.004858,117289.195633,2001-01-02 08:34:49.196 +0000
0.173172,0.200653,-0.978638,1.013894,117289.176040,2001-01-02 08:34:49.176 +0000
0.166382,0.153809,-0.978973,1.004853,117289.156448,2001-01-02 08:34:49.156 +0000
0.190994,0.140350,-0.964081,0.992788,117289.136856,2001-01-02 08:34:49.137 +0000
0.184067,0.113419,-0.985504,1.008941,117289.117294,2001-01-02 08:34:49.117 +0000
0.159714,0.068100,-1.000076,1.015036,117289.097702,2001-01-02 08:34:49.098 +0000
0.172653,0.034668,-0.986664,1.002256,117289.078110,2001-01-02 08:34:49.078 +0000
0.187363,-0.025772,-0.991013,1.008898,117289.058517,2001-01-02 08:34:49.059 +0000
0.165237,-0.075546,-0.953201,0.970362,117289.038925,2001-01-02 08:34:49.039 +0000
0.137772,-0.151352,-0.980591,1.001722,117289.019363,2001-01-02 08:34:49.019 +0000
0.140442,-0.203827,-0.992035,1.022449,117288.999771,2001-01-02 08:34:49.000 +0000
0.163559,-0.265167,-1.013474,1.060280,117288.980179,2001-01-02 08:34:48.980 +0000
0.175156,-0.326080,-0.991730,1.058554,117288.960586,2001-01-02 08:34:48.961 +0000
